"product_id","product_name","product_category","manufacturing_city","size","color","sku","brand","material","base_cost","list_price","inventory_on_hand","rating","launch_date"
"249811","Runner Pro Sneaker","Footwear","Portland",NULL,"Gray",NULL,"Luma","Leather","14.61","46.95",551,"3.6","2025-05-27"
"770487","Classic Crew Tee","Apparel","Dallas","S","Black","24942603","Modern Harbor","Cotton","5.90","12.58",228,"3.4","2023-07-29"
"988662","Performance Leggings","Apparel","Los Angeles","M","Pink","56164955","EverTrail","Blend","49.88","167.42",747,"3.9","2023-09-13"
"391476","Linen Button Shirt","Apparel","New York",NULL,"Silver","70855700","Luma",NULL,"52.31","122.36",379,"3.7","2024-06-30"
"131244","Slim Fit Jeans","Apparel","Austin",NULL,"Tan","22575562","EverTrail","Cotton","20.62","54.90",27,"4.1","2025-05-09"
"895667","Oversized Hoodie","Apparel","New York","S","Beige","31429110","Northline","Wool",NULL,"130.24",159,"3.5","2024-11-20"
"479201","Puffer Jacket","Apparel","New York","One Size","Green","87490893","Northline","Nylon","18.61","30.89",677,"3.5","2024-08-15"
"864544","Cotton Joggers","Apparel","Phoenix","One Size","Black","42857966","Luma","Cotton","16.42",NULL,655,"4.3","2024-03-25"
"642717","Throw Blanket","Home","Portland","L","Black","70597444","Northline","Cotton","13.20","26.62",346,"3.1","2025-03-14"
"634277","Leather Chelsea Boot","Footwear","Columbus","10","White","76238574","Modern Harbor","Leather","10.91","17.55",NULL,"3.4","2023-11-24"
"704201","Wireless Earbuds","Electronics","Columbus","One Size","Beige","73440831","Modern Harbor","Plastic","22.47","58.15",416,"3.4","2025-08-03"
"216970","Trail Hiker","Footwear","Dallas",NULL,"Blue","49392920","Drift Co","Polyester","37.04","94.21",739,NULL,"2024-06-23"
"724834","Canvas Slip-On","Footwear","Dallas",NULL,NULL,"72820592","Aster","Cotton","44.21","165.06",11,"4.3","2023-08-23"
"755674","Everyday Tote","Accessories",NULL,NULL,"Pink","50056581","Northline",NULL,"67.97","181.32",203,"3.4","2023-11-27"
"864491","Portable Charger","Electronics","New York",NULL,NULL,"17270733","Luma","Plastic","55.18","207.67",100,"3.2","2025-08-21"
"340062","Hydrating Face Serum","Beauty","Atlanta",NULL,"Pink","19046318","Luma","Blend","72.81","253.17",72,"4.0","2024-07-24"
"543692","Ceramic Mug Set","Home","Columbus",NULL,"Silver","38427073","EverTrail",NULL,"74.60","241.49",706,"3.5","2024-09-30"
"944151","Ribbed Tank Top","Apparel","Austin",NULL,"Navy","52339391","Modern Harbor",NULL,"34.49","56.99",580,"4.7","2024-10-06"
"439902","Braided Belt","Accessories","Portland","One Size","White","75579548","Aster","Denim","5.48","19.93",314,"3.5","2024-05-08"
"955662","Wool Beanie","Accessories","Dallas","One Size","Red","19289546","Drift Co","Blend","78.33","213.47",128,"3.3","2025-08-31"
